Designator,Package,Quantity,Designation,Supplier,Ref,Notes
"T1,T2",T50_Coupler,2,FT50A-61,Mouser,623-5961000601,Fair-Rite type 61 ferrite toroid (0.500in OD); previously sourced via eBay
D5,D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp,1,1N4148,Mouser,512-1N4148,
"K13,K11",RelayDPDT01,2,EC2-12NU,Mouser,769-EC2-12NU,Panasonic DPDT 12V PCB relay
"K5,K4,K3,K2,K12,K1,K10,K9,K8,K7,K6",RelayDPDT02,11,V23105-A5305-A201,Mouser,832-V23105A5305A201,TE Connectivity AXICOM D2N 12V DPDT relay; updated designation from AXICOM D2N - same footprint
J4,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,RF1,Mouser,798-UFL-R-SMT-1(80),Hirose U.FL SMT connector
"R41,R40",R_0603_1608Metric,2,0R,Mouser,71-CRCW06030000Z0EA,Zero-ohm link 0603
J3,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,RF3,Mouser,798-UFL-R-SMT-1(80),Hirose U.FL SMT connector
U4,TSSOP-16_4.4x5mm_P0.65mm,1,ULN2003APWR,Mouser,595-ULN2003APWR,TI ULN2003A TSSOP-16; updated designation from ULN2003
Q3,SOT-23,1,IRLML6402,Mouser,942-IRLML6402TRPBF,Infineon P-ch MOSFET SOT-23
Q4,SOT-23,1,DTC144E,Mouser,755-DTC144EU3HZGT106,
J8,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Fan,Mouser,306-B2B-XH-A,JST XH 2-pin 2.5mm vertical connector
"J7","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,12V,Mouser,651-1935161,Phoenix Contact PT-1.5/2-3.5-H 2-pin 3.5mm pitch
R39,R_0805_2012Metric,1,5k6,Mouser,71-CRCW08055K60FKEA#,
"L3,L9",T50_V_THT,2,680n,,,Self-wound on T50 iron-powder core; wind to inductance specification
U2,MAX11613,1,MAX11645EUA+,Mouser,700-MAX11645EUA+,Maxim/ADI 12-bit ADC; MAX11645 is pin-compatible with MAX11613 footprint; updated designation
U6,MSOP-8_3x3mm_P0.65mm,1,MCP4561,Mouser,579-MCP4561T-103E/MS,
U7,SOT-23-5,1,INA193A,Mouser,595-INA193AIDBVT,UPDATED: INA193A replaces INA193 - improved specs; same SOT-23-5 footprint and pinout; no PCB change required
"R14,R35",R_0805_2012Metric,2,JNC,,,Install as 0R link or leave DNI per build requirements
R34,R_0612_1632Metric,1,0.036,Mouser,667-ERJ-B2CFR036V,Panasonic ERJ-B2C 0612 current sense resistor
"C70,C71,C75,C76,C59,C62,C56",C_0805_2012Metric,7,100n,Mouser,810-C2012X7R2A104K125AA,TDK 100nF 0805 X7R 100V
"C78,C81,C82,C1,C2,C3,C4,C5,C18,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C57,C58,C60,C63,C64,C65,C68,C73",C_0805_2012Metric,36,100n,Mouser,810-C2012X7R2A104K125AA,TDK 100nF 0805 X7R 100V; same part as above row - was Farnell 2320839
"C79,C80",C_0805_2012Metric,2,4n7,Mouser,80-C0805C472J3GECLR,
C83,C_0805_2012Metric,1,DNI,,,Do not install
